"date","on","1w","2w","1m","3m","6m","9m","1y"
"20181228","1.47","2.721","3.368","3.492","3.357","3.297","3.48","3.521"
"20181227","1.793","2.695","3.322","3.47","3.339","3.294","3.48","3.52"
"20181226","2.029","2.672","3.233","3.397","3.309","3.291","3.48","3.52"
"20181225","2.028","2.653","3.13","3.302","3.273","3.289","3.48","3.518"
"20181224","2.316","2.659","3.03","3.232","3.23","3.286","3.48","3.517"
"20181221","2.486","2.649","2.866","3.154","3.209","3.284","3.48","3.517"
"20181220","2.567","2.676","2.819","3.112","3.199","3.282","3.481","3.524"
"20181219","2.654","2.69","2.788","3.047","3.181","3.278","3.482","3.524"
"20181218","2.669","2.694","2.767","3.034","3.174","3.278","3.482","3.522"
"20181217","2.625","2.697","2.727","3.002","3.164","3.275","3.48","3.52"
"20181214","2.655","2.683","2.676","2.966","3.156","3.274","3.479","3.52"
"20181213","2.519","2.636","2.638","2.9","3.149","3.273","3.477","3.52"
"20181212","2.424","2.626","2.631","2.874","3.147","3.274","3.477","3.522"
"20181211","2.463","2.624","2.625","2.848","3.145","3.274","3.475","3.521"
"20181210","2.453","2.615","2.622","2.838","3.142","3.277","3.478","3.526"
"20181207","2.416","2.611","2.618","2.828","3.136","3.277","3.478","3.525"
"20181206","2.418","2.6","2.612","2.81","3.133","3.275","3.478","3.525"
"20181205","2.267","2.581","2.613","2.782","3.133","3.276","3.478","3.526"
"20181204","2.445","2.621","2.641","2.745","3.126","3.275","3.478","3.527"
"20181203","2.515","2.618","2.648","2.714","3.117","3.275","3.478","3.527"
"20181130","2.642","2.669","2.673","2.701","3.113","3.279","3.483","3.527"
"20181129","2.262","2.65","2.663","2.6969","3.1094","3.2767","3.4836","3.5278"
"20181128","2.539","2.65","2.663","2.699","3.104","3.277","3.486","3.528"
"20181127","2.556","2.643","2.664","2.697","3.096","3.278","3.487","3.527"
"20181126","2.498","2.644","2.661","2.693","3.085","3.277","3.488","3.525"
"20181123","2.356","2.628","2.655","2.691","3.073","3.275","3.491","3.529"
