"date","on","1w","2w","1m","3m","6m","9m","1y"
"20171113","2.787","2.8592","3.8228","4.0132","4.5155","4.4675","4.4583","4.4661"
"20171110","2.717","2.8455","3.812","4.0104","4.4747","4.4569","4.4482","4.4573"
"20171109","2.646","2.811","3.8","4.0034","4.4568","4.4489","4.4403","4.4497"
"20171108","2.595","2.7892","3.798","3.9935","4.4377","4.439","4.4345","4.4422"
"20171107","2.552","2.7878","3.7999","3.9975","4.4314","4.4319","4.4255","4.4402"
"20171106","2.512","2.797","3.8122","4.0059","4.4294","4.4297","4.4237","4.4364"
"20171103","2.5772","2.8249","3.8287","4.0133","4.4217","4.4165","4.4235","4.4338"
"20171102","2.626","2.859","3.836","4.0289","4.4099","4.4101","4.4171","4.4287"
"20171101","2.739","2.894","3.85","4.029","4.408","4.4034","4.4114","4.4223"
"20171031","2.736","2.894","3.846","4.027","4.3954","4.3978","4.4063","4.4176"
"20171030","2.72","2.888","3.8343","4.02","4.3926","4.3936","4.402","4.4107"
"20171027","2.7181","2.8788","3.8206","4.0194","4.3901","4.3926","4.4001","4.4045"
"20171026","2.6937","2.8699","3.807","4.019","4.3845","4.3916","4.3988","4.4049"
"20171025","2.664","2.8594","3.802","4.0188","4.383","4.3891","4.398","4.4029"
"20171024","2.634","2.8343","3.795","4.0186","4.3803","4.3892","4.398","4.4017"
"20171023","2.616","2.8341","3.7879","4.02","4.3793","4.3888","4.398","4.4032"
"20171020","2.5782","2.8379","3.7812","4.0235","4.3758","4.3883","4.399","4.4032"
"20171019","2.592","2.8405","3.7758","4.0285","4.3737","4.3892","4.3977","4.4016"
"20171018","2.596","2.8468","3.7719","4.0342","4.3729","4.3887","4.3978","4.4018"
"20171017","2.6003","2.8483","3.7732","4.0356","4.3711","4.388","4.3979","4.4015"
"20171016","2.594","2.848","3.7784","4.0427","4.3668","4.3875","4.3978","4.4012"
"20171013","2.605","2.8516","3.7923","4.049","4.3599","4.3868","4.398","4.4017"
"20171012","2.657","2.886","3.7989","4.0512","4.3581","4.3877","4.3973","4.401"
"20171011","2.741","2.9247","3.8097","4.052","4.3555","4.3872","4.3983","4.4025"
"20171010","2.738","2.939","3.813","4.056","4.3541","4.3868","4.398","4.403"
"20171009","2.74","2.9201","3.818","4.0614","4.3502","4.3878","4.399","4.403"
"20170930","2.938","2.9671","3.8194","4.0693","4.3565","4.3863","4.3975","4.404"
"20170929","2.804","2.9639","3.8077","4.0743","4.3561","4.3865","4.3976","4.4043"
"20170928","2.917","2.9675","3.7929","4.0565","4.356","4.3866","4.398","4.4049"
