"date","on","1w","2w","1m","3m","6m","9m","1y"
"20161230","2.23","2.543","2.828","3.3059","3.2726","3.2864","3.3192","3.3728"
"20161229","2.227","2.544","2.813","3.2988","3.2651","3.2835","3.3115","3.3675"
"20161228","2.246","2.545","2.799","3.2945","3.2592","3.2762","3.3018","3.361"
"20161227","2.264","2.547","2.786","3.2842","3.2512","3.2718","3.2973","3.3598"
"20161226","2.294","2.545","2.783","3.2716","3.2414","3.2672","3.2928","3.3575"
"20161223","2.323","2.543","2.776","3.2558","3.2337","3.2515","3.2873","3.3546"
"20161222","2.341","2.544","2.77","3.2371","3.2267","3.2442","3.2827","3.3455"
"20161221","2.345","2.544","2.76","3.221","3.2164","3.2312","3.2767","3.3349"
"20161220","2.345","2.5375","2.7465","3.2","3.204","3.222","3.2661","3.3186"
"20161219","2.335","2.525","2.726","3.1695","3.1898","3.2099","3.2502","3.3059"
"20161216","2.33","2.519","2.712","3.1545","3.1774","3.1985","3.2418","3.2986"
"20161215","2.311","2.505","2.705","3.1245","3.1635","3.1842","3.2275","3.2855"
"20161214","2.3","2.499","2.6994","3.1072","3.1568","3.1731","3.2082","3.2741"
"20161213","2.296","2.496","2.694","3.0916","3.1498","3.1607","3.1942","3.2606"
"20161212","2.292","2.494","2.686","3.0756","3.1377","3.1464","3.1816","3.246"
"20161209","2.2925","2.4928","2.682","3.056","3.1265","3.144","3.176","3.2391"
"20161208","2.2908","2.4908","2.6785","3.03","3.1144","3.1399","3.1696","3.231"
"20161207","2.292","2.491","2.675","2.9996","3.1134","3.1383","3.1655","3.2197"
"20161206","2.299","2.493","2.666","2.9756","3.1039","3.1226","3.1442","3.2066"
"20161205","2.308","2.497","2.662","2.9457","3.0889","3.1057","3.1211","3.1853"
"20161202","2.32","2.501","2.658","2.9163","3.0686","3.0868","3.1001","3.173"
"20161201","2.325","2.502","2.653","2.893","3.0556","3.0771","3.0902","3.16"
"20161130","2.316","2.496","2.638","2.8697","3.0358","3.0604","3.0714","3.1491"
"20161129","2.302","2.481","2.618","2.8565","3.0172","3.0434","3.0535","3.131"
"20161128","2.298","2.466","2.607","2.8446","3.0113","3.0331","3.0445","3.1199"
"20161125","2.289","2.458","2.603","2.826","3.0026","3.0201","3.0349","3.1088"
"20161124","2.282","2.452","2.602","2.8199","2.9956","3.0104","3.0289","3.0976"
"20161123","2.277","2.451","2.601","2.8089","2.9857","3.0036","3.0184","3.0853"
"20161122","2.273","2.45","2.597","2.799","2.9765","2.996","3.014","3.0825"
"20161121","2.271","2.448","2.593","2.7894","2.9701","2.9852","3.0069","3.0782"
"20161118","2.265","2.444","2.585","2.7739","2.9505","2.9715","2.999","3.0712"
"20161117","2.259","2.436","2.581","2.7608","2.9325","2.9526","2.9888","3.0605"
"20161116","2.257","2.428","2.574","2.7545","2.9125","2.938","2.9792","3.054"
"20161115","2.247","2.415","2.569","2.7511","2.8955","2.9303","2.9738","3.049"
"20161114","2.231","2.407","2.565","2.7508","2.8846","2.923","2.968","3.048"
"20161111","2.211","2.402","2.563","2.7476","2.8751","2.9209","2.965","3.045"
"20161110","2.196","2.393","2.563","2.746","2.8701","2.9185","2.964","3.044"
"20161109","2.182","2.389","2.562","2.745","2.8655","2.9154","2.9635","3.0415"
"20161108","2.187","2.392","2.565","2.747","2.8648","2.9137","2.961","3.041"
"20161107","2.206","2.399","2.567","2.7489","2.8576","2.9112","2.9599","3.041"
"20161104","2.232","2.405","2.57","2.7489","2.8458","2.9064","2.9587","3.0408"
"20161103","2.245","2.408","2.572","2.749","2.838","2.9034","2.9562","3.038"
"20161102","2.2492","2.414","2.573","2.7509","2.8296","2.9032","2.952","3.035"
"20161101","2.252","2.416","2.573","2.7486","2.8254","2.902","2.952","3.032"
"20161031","2.253","2.418","2.573","2.7453","2.8233","2.9","2.951","3.032"
"20161028","2.254","2.415","2.573","2.7427","2.8221","2.898","2.9485","3.032"
"20161027","2.254","2.411","2.57","2.7365","2.8207","2.895","2.945","3.031"
"20161026","2.248","2.409","2.566","2.7347","2.8164","2.894","2.944","3.03"
"20161025","2.238","2.404","2.56","2.7265","2.814","2.893","2.943","3.03"
"20161024","2.231","2.404","2.556","2.7245","2.813","2.891","2.9409","3.029"
"20161021","2.222","2.401","2.554","2.7242","2.8096","2.8899","2.9387","3.028"
"20161020","2.208","2.397","2.553","2.7213","2.8054","2.8889","2.9361","3.028"
"20161019","2.196","2.39","2.55","2.7133","2.804","2.8887","2.9309","3.028"
"20161018","2.173","2.381","2.544","2.7121","2.804","2.887","2.9284","3.0275"
"20161017","2.159","2.375","2.542","2.7101","2.804","2.887","2.9284","3.0275"
"20161014","2.153","2.374","2.541","2.711","2.8025","2.887","2.9284","3.0275"
"20161013","2.151","2.378","2.543","2.7125","2.8025","2.8877","2.9284","3.0275"
"20161012","2.15","2.383","2.545","2.7148","2.8015","2.887","2.9284","3.0275"
"20161011","2.153","2.394","2.552","2.718","2.8015","2.887","2.9284","3.0275"
"20161010","2.162","2.41","2.561","2.725","2.8015","2.887","2.9284","3.0275"
"20161009","2.175","2.425","2.574","2.73","2.8015","2.887","2.9284","3.0275"
"20161008","2.193","2.442","2.588","2.736","2.8015","2.887","2.9284","3.0275"
"20160930","2.327","2.477","2.602","2.741","2.8015","2.887","2.9284","3.0265"
"20160929","2.188","2.487","2.602","2.743","2.8015","2.887","2.9284","3.0265"
"20160928","2.178","2.476","2.595","2.7396","2.8015","2.887","2.9284","3.0265"
"20160927","2.166","2.459","2.589","2.7353","2.8025","2.887","2.9284","3.0265"
"20160926","2.164","2.439","2.581","2.733","2.804","2.8899","2.9283","3.0265"
"20160923","2.1668","2.406","2.577","2.7298","2.804","2.8888","2.928","3.0275"
"20160922","2.168","2.408","2.56","2.7177","2.803","2.8875","2.9249","3.0275"
"20160921","2.167","2.405","2.54","2.7069","2.8009","2.8843","2.924","3.0275"
"20160920","2.159","2.4","2.533","2.699","2.799","2.8823","2.9248","3.0275"
"20160919","2.154","2.397","2.531","2.695","2.796","2.8822","2.9226","3.0275"
"20160918","2.14","2.394","2.522","2.6896","2.7919","2.8815","2.921","3.0275"
"20160914","2.128","2.392","2.519","2.686","2.7885","2.8794","2.921","3.0265"
"20160913","2.108","2.3855","2.5165","2.6792","2.785","2.8789","2.921","3.0265"
"20160912","2.095","2.378","2.516","2.6767","2.7849","2.8789","2.921","3.0265"
"20160909","2.085","2.3765","2.517","2.677","2.7831","2.879","2.921","3.0255"
"20160908","2.081","2.37","2.52","2.6745","2.781","2.877","2.921","3.0255"
"20160907","2.0803","2.368","2.529","2.677","2.781","2.879","2.921","3.0265"
"20160906","2.077","2.368","2.536","2.682","2.7845","2.8805","2.92","3.0265"
"20160905","2.07","2.369","2.544","2.686","2.786","2.884","2.921","3.0255"
"20160902","2.066","2.369","2.555","2.69","2.788","2.886","2.924","3.0265"
"20160901","2.066","2.368","2.5713","2.696","2.791","2.8895","2.9255","3.026"
"20160831","2.065","2.369","2.583","2.696","2.794","2.8915","2.9265","3.027"
"20160830","2.063","2.366","2.602","2.696","2.795","2.8915","2.9265","3.025"
"20160829","2.049","2.364","2.621","2.696","2.795","2.894","2.927","3.027"
"20160826","2.044","2.362","2.637","2.697","2.796","2.895","2.927","3.027"
"20160825","2.044","2.364","2.647","2.6998","2.795","2.896","2.927","3.027"
"20160824","2.043","2.362","2.641","2.6976","2.794","2.896","2.927","3.027"
"20160823","2.033","2.352","2.632","2.696","2.793","2.895","2.926","3.026"
"20160822","2.0233","2.3467","2.6333","2.6978","2.7944","2.8967","2.9267","3.0267"
"20160819","2.023","2.347","2.631","2.696","2.793","2.896","2.926","3.027"
"20160818","2.023","2.347","2.634","2.696","2.794","2.895","2.927","3.026"
"20160817","2.022","2.345","2.635","2.698","2.796","2.897","2.927","3.026"
"20160816","2.022","2.343","2.637","2.702","2.7995","2.898","2.9295","3.026"
"20160815","2.0233","2.3411","2.64","2.7056","2.8028","2.9","2.9318","3.0278"
"20160812","2.021","2.336","2.636","2.705","2.8045","2.9","2.9309","3.026"
"20160811","2.021","2.332","2.636","2.705","2.805","2.901","2.9335","3.027"
"20160810","2.017","2.325","2.636","2.709","2.8085","2.9045","2.9347","3.026"
"20160809","2.01","2.317","2.635","2.714","2.8105","2.9055","2.937","3.025"
"20160808","2.005","2.316","2.639","2.721","2.815","2.907","2.94","3.026"
"20160805","2.002","2.317","2.649","2.729","2.8185","2.9105","2.9445","3.028"
"20160804","2.002","2.324","2.657","2.739","2.822","2.917","2.9484","3.03"
"20160803","2.004","2.332","2.666","2.755","2.8335","2.9225","2.9535","3.0335"
"20160802","2.008","2.338","2.675","2.761","2.839","2.928","2.9595","3.0358"
"20160801","2.012","2.343","2.683","2.7665","2.844","2.934","2.9646","3.0378"
"20160729","2.017","2.348","2.692","2.773","2.846","2.936","2.9658","3.038"
"20160728","2.028","2.359","2.695","2.775","2.8465","2.9385","2.9656","3.039"
"20160727","2.038","2.36","2.696","2.777","2.849","2.9446","2.9705","3.041"
"20160726","2.037","2.348","2.691","2.779","2.851","2.9455","2.974","3.041"
"20160725","2.032","2.332","2.68","2.78","2.854","2.948","2.976","3.041"
"20160722","2.023","2.321","2.678","2.784","2.856","2.954","2.981","3.044"
"20160721","2.008","2.311","2.677","2.786","2.8575","2.955","2.982","3.046"
"20160720","2.005","2.308","2.679","2.794","2.8615","2.956","2.985","3.045"
"20160719","2.003","2.308","2.684","2.795","2.865","2.957","2.985","3.048"
"20160718","1.996","2.307","2.688","2.799","2.87","2.959","2.985","3.048"
"20160715","1.996","2.308","2.693","2.803","2.877","2.964","2.986","3.047"
"20160714","1.993","2.31","2.703","2.81","2.888","2.966","2.994","3.047"
"20160713","1.993","2.313","2.718","2.823","2.907","2.9715","2.996","3.049"
"20160712","1.994","2.319","2.732","2.837","2.924","2.975","2.997","3.05"
"20160711","1.996","2.323","2.741","2.845","2.931","2.9775","2.999","3.05"
"20160708","1.996","2.327","2.753","2.8495","2.936","2.983","3","3.05"
"20160707","1.997","2.33","2.76","2.8535","2.9455","2.987","3","3.05"
"20160706","1.999","2.337","2.774","2.856","2.953","2.989","3","3.05"
"20160705","2.007","2.344","2.786","2.86","2.9605","2.99","3.0012","3.05"
"20160704","2.014","2.355","2.794","2.869","2.9672","2.99","3.0012","3.05"
"20160701","2.027","2.365","2.801","2.877","2.9661","2.9899","3.0012","3.05"
"20160630","2.037","2.385","2.8","2.887","2.9659","2.9887","3.0012","3.05"
"20160629","2.038","2.386","2.8","2.89","2.9639","2.9865","3.0012","3.051"
"20160628","2.04","2.381","2.796","2.8899","2.9638","2.9845","3.0012","3.051"
"20160627","2.038","2.375","2.792","2.8886","2.9618","2.9845","3.0019","3.051"
"20160624","2.035","2.371","2.784","2.8852","2.9626","2.9825","2.9985","3.051"
"20160623","2.032","2.358","2.776","2.8813","2.9605","2.9835","2.9945","3.051"
"20160622","2.027","2.355","2.759","2.8768","2.9593","2.9835","2.9945","3.051"
"20160621","2.019","2.354","2.751","2.8728","2.9573","2.9845","2.9945","3.051"
"20160620","2.01","2.351","2.744","2.8675","2.9572","2.9845","2.9945","3.051"
"20160617","2.005","2.346","2.738","2.859","2.9568","2.9844","2.9945","3.05"
"20160616","2.002","2.343","2.726","2.8535","2.9523","2.9834","2.9945","3.05"
"20160615","2","2.341","2.725","2.844","2.9521","2.9834","2.994","3.05"
"20160614","2","2.341","2.731","2.844","2.9508","2.9834","2.9944","3.05"
"20160613","2","2.342","2.737","2.844","2.9476","2.9833","2.993","3.05"
"20160612","2","2.343","2.741","2.842","2.946","2.982","2.993","3.05"
"20160608","2","2.341","2.752","2.838","2.946","2.982","2.993","3.05"
"20160607","2","2.34","2.754","2.838","2.946","2.9834","2.9935","3.05"
"20160606","1.998","2.337","2.757","2.839","2.946","2.9833","2.992","3.05"
"20160603","1.999","2.338","2.757","2.835","2.947","2.9833","2.993","3.05"
"20160602","2.004","2.342","2.763","2.838","2.946","2.9823","2.992","3.05"
"20160601","2.006","2.337","2.762","2.842","2.946","2.9823","2.992","3.05"
"20160531","2.01","2.338","2.771","2.846","2.946","2.9822","2.992","3.05"
"20160530","2.002","2.334","2.776","2.846","2.9455","2.9822","2.992","3.05"
"20160527","2.001","2.333","2.777","2.846","2.942","2.9822","2.992","3.05"
"20160526","2.001","2.332","2.775","2.845","2.941","2.981","2.993","3.05"
"20160525","2.001","2.331","2.779","2.842","2.9385","2.982","2.993","3.05"
"20160524","2.002","2.33","2.778","2.842","2.933","2.9807","2.9908","3.05"
"20160523","2.004","2.33","2.779","2.84","2.93","2.9762","2.9865","3.05"
"20160520","2.008","2.331","2.782","2.839","2.9288","2.9716","2.9843","3.05"
"20160519","2.01","2.331","2.783","2.837","2.9273","2.9655","2.9823","3.05"
"20160518","2.011","2.332","2.782","2.839","2.9227","2.9636","2.9822","3.05"
"20160517","2.011","2.331","2.785","2.835","2.9158","2.9552","2.9812","3.049"
"20160516","2.005","2.327","2.786","2.834","2.9075","2.9516","2.981","3.047"
"20160513","2.002","2.324","2.785","2.834","2.9035","2.9452","2.979","3.045"
"20160512","2","2.325","2.787","2.835","2.8955","2.9418","2.979","3.044"
"20160511","1.999","2.324","2.789","2.838","2.894","2.9385","2.978","3.043"
"20160510","1.999","2.323","2.792","2.841","2.892","2.9345","2.977","3.042"
"20160509","1.999","2.323","2.79","2.841","2.892","2.9325","2.977","3.042"
"20160506","2","2.326","2.794","2.842","2.894","2.9335","2.977","3.042"
"20160505","2.001","2.329","2.794","2.846","2.896","2.9345","2.977","3.042"
"20160504","2","2.328","2.797","2.845","2.899","2.933","2.977","3.042"
"20160503","2.0033","2.34","2.8011","2.8489","2.9044","2.93","2.9767","3.0422"
"20160429","2.049","2.386","2.823","2.853","2.908","2.927","2.975","3.042"
"20160428","2.021","2.368","2.812","2.8415","2.8925","2.9166","2.9712","3.042"
"20160427","2.024","2.346","2.801","2.833","2.883","2.912","2.9712","3.042"
"20160426","2.036","2.341","2.795","2.829","2.8775","2.907","2.9708","3.042"
"20160425","2.045","2.342","2.787","2.823","2.8735","2.904","2.967","3.042"
"20160422","2.038","2.334","2.77","2.8115","2.868","2.9025","2.9676","3.042"
"20160421","2.029","2.332","2.757","2.8055","2.861","2.8965","2.967","3.042"
"20160420","2.018","2.322","2.751","2.803","2.851","2.894","2.967","3.042"
"20160419","2.004","2.305","2.743","2.8","2.85","2.894","2.9675","3.043"
"20160418","1.998","2.302","2.742","2.799","2.848","2.893","2.967","3.042"
"20160415","1.995","2.301","2.743","2.799","2.848","2.894","2.967","3.044"
"20160414","1.999","2.304","2.741","2.799","2.8487","2.8928","2.967","3.042"
"20160413","1.996","2.302","2.739","2.799","2.8485","2.8905","2.966","3.042"
"20160412","1.993","2.295","2.737","2.797","2.847","2.8875","2.965","3.043"
"20160411","1.985","2.291","2.738","2.797","2.8485","2.885","2.965","3.042"
"20160408","1.98","2.287","2.741","2.798","2.8455","2.8828","2.966","3.047"
"20160407","1.9783","2.289","2.745","2.8","2.847","2.8825","2.968","3.048"
"20160406","1.983","2.294","2.763","2.8068","2.845","2.8805","2.968","3.049"
"20160405","1.993","2.302","2.812","2.8212","2.846","2.878","2.9683","3.05"
"20160401","2.014","2.32","2.821","2.816","2.8385","2.872","2.969","3.051"
"20160331","2.017","2.325","2.788","2.807","2.8248","2.87","2.97","3.051"
"20160330","2.004","2.312","2.73","2.7665","2.8115","2.869","2.97","3.052"
"20160329","1.996","2.303","2.678","2.729","2.8002","2.866","2.97","3.054"
"20160328","1.992","2.301","2.657","2.706","2.797","2.868","2.971","3.055"
"20160325","1.989","2.3","2.635","2.702","2.797","2.87","2.9746","3.055"
"20160324","1.995","2.297","2.627","2.704","2.799","2.8792","2.978","3.055"
"20160323","2","2.301","2.625","2.7025","2.798","2.884","2.98","3.0555"
"20160322","2.007","2.305","2.616","2.699","2.797","2.887","2.985","3.058"
"20160321","1.998","2.302","2.606","2.692","2.795","2.892","2.992","3.0635"
"20160318","1.99","2.295","2.553","2.662","2.793","2.902","2.995","3.0685"
"20160317","1.97","2.288","2.551","2.662","2.791","2.916","3.003","3.078"
"20160316","1.956","2.282","2.552","2.6585","2.793","2.9302","3.011","3.09"
"20160315","1.953","2.281","2.558","2.659","2.793","2.936","3.011","3.091"
"20160314","1.949","2.281","2.556","2.659","2.793","2.94","3.014","3.093"
"20160311","1.945","2.282","2.561","2.666","2.799","2.949","3.016","3.0955"
"20160310","1.947","2.28","2.568","2.678","2.804","2.959","3.02","3.101"
"20160309","1.95","2.292","2.57","2.683","2.807","2.972","3.026","3.106"
"20160308","1.95","2.293","2.574","2.689","2.814","2.976","3.033","3.112"
"20160307","1.951","2.294","2.581","2.696","2.823","2.98","3.044","3.121"
"20160304","1.95","2.295","2.592","2.703","2.832","2.989","3.051","3.125"
"20160303","1.957","2.297","2.613","2.716","2.84","2.993","3.057","3.134"
"20160302","1.962","2.3","2.658","2.738","2.857","2.996","3.068","3.145"
"20160301","1.968","2.308","2.695","2.795","2.8835","3.01","3.078","3.1735"
"20160229","2.007","2.335","2.678","2.8","2.899","3.022","3.089","3.186"
"20160226","2.048","2.345","2.622","2.785","2.899","3.03","3.097","3.192"
"20160225","2.004","2.321","2.517","2.757","2.899","3.0252","3.097","3.197"
